category_id,category,field_id,field,name,explanation
4,Interests & Consumer Habits,868,xpg.greenaware_tiers,Environmental Purchaser Segment,GreenAware Tiers add definition to the existing GreenAware segmentation system.  Each of the four levels of GreenAware has 10 tiers of definition.
4,Interests & Consumer Habits,978,xpbb.behaviorbank_interest_in_cultural_arts,Cultural Arts,Experian Field ID: 4809; Experian Datapoint Match Level: Household; Interest in cultural arts
4,Interests & Consumer Habits,979,xpbb.propensity_interest_in_cultural_arts_code,xpbb.propensity_interest_in_cultural_arts_code,Experian Field ID: 4887; Experian Datapoint Match Level: Household; Z arts ; arts propensities indicates a household's self reported interest in cultural arts. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader 
4,Interests & Consumer Habits,980,xpbb.behaviorbank_interest_in_astrology,Astrology,Experian Field ID: 4846; Experian Datapoint Match Level: Household; Interest in astrology
4,Interests & Consumer Habits,981,xpbb.propensity_interest_in_astrology_code,xpbb.propensity_interest_in_astrology_code,"Experian Field ID: 5038; Experian Datapoint Match Level: Household; Astrology ; Astrology Propensity, Self reported data 8541 Z Astrology ; Astrology Propensity indicates a household's self-reported interest in Astrology. BehaviorBank Household Indicator"
4,Interests & Consumer Habits,982,xpbb.behaviorbank_interest_in_automotive,Cars & Trucks,Experian Field ID: 4844; Experian Datapoint Match Level: Household; Interest in automotive
4,Interests & Consumer Habits,983,xpbb.propensity_interest_in_automotive_code,xpbb.propensity_interest_in_automotive_code,"Experian Field ID: 4957; Experian Datapoint Match Level: Household; Auto ; Auto Propensity, Self reported data 8539 Z auto ; auto propensities indicates a household's self reported interest in automotive. BehaviorBank Household Indicators groups similar "
4,Interests & Consumer Habits,986,xpbb.behaviorbank_interest_in_boating,Boating,Experian Field ID: 4847; Experian Datapoint Match Level: Household; Interest in boating
4,Interests & Consumer Habits,987,xpbb.propensity_interest_in_boating_code,xpbb.propensity_interest_in_boating_code,"Experian Field ID: 5040; Experian Datapoint Match Level: Household; Boats ; Boats Propensity, Self reported data 8542 Z Boats ; Boats Propensity indicates a household's self-reported interest in Boats. BehaviorBank Household Indicators groups similar sel"
4,Interests & Consumer Habits,988,xpbb.behaviorbank_cat_enthusiasts,Cats,Experian Field ID: 4842; Experian Datapoint Match Level: Household; Cat enthusiasts
4,Interests & Consumer Habits,989,xpbb.propensity_cat_enthusiasts_code,xpbb.propensity_cat_enthusiasts_code,"Experian Field ID: 4953; Experian Datapoint Match Level: Household; Cats ; Cats Propensity, Self reported data 8537 Z cats ; cats propensities indicates a household has self reported as cat enthusiasts. BehaviorBank Household Indicators groups similar se"
4,Interests & Consumer Habits,992,xpbb.behaviorbank_children_parenting_products,Children's Products,Experian Field ID: 4827; Experian Datapoint Match Level: Household; Children/parenting products
4,Interests & Consumer Habits,993,xpbb.propensity_children_parenting_products_code,xpbb.propensity_children_parenting_products_code,"Experian Field ID: 4923; Experian Datapoint Match Level: Household; Child Products ; Child Products Prop, Self reported data 8522 Z child products ; child products propensities indicates a household's self reported interest in children/parenting products"
4,Interests & Consumer Habits,994,xpbb.behaviorbank_interest_in_clothing,Clothing,Experian Field ID: 4832; Experian Datapoint Match Level: Household; Interest in clothing
4,Interests & Consumer Habits,995,xpbb.propensity_interest_in_clothing_code,xpbb.propensity_interest_in_clothing_code,"Experian Field ID: 4933; Experian Datapoint Match Level: Household; Clothing ; Clothing Propensity, Self reported data 8527 Z clothing ; clothing propensities indicates a household's self reported interest in clothing. BehaviorBank Household Indicators g"
4,Interests & Consumer Habits,996,xpbb.behaviorbank_collectors,Collectors,Experian Field ID: 4819; Experian Datapoint Match Level: Household; Collectors
4,Interests & Consumer Habits,997,xpbb.propensity_collectors_code,xpbb.propensity_collectors_code,"Experian Field ID: 4907; Experian Datapoint Match Level: Household; Collector ; Collector Propensity, Self reported data 8514 Z collector ; collector propensities indicates a household's self reported interest in collecting. BehaviorBank Household Indica"
4,Interests & Consumer Habits,1000,xpbb.behaviorbank_computers_peripherals,Computers & Technology,Experian Field ID: 4850; Experian Datapoint Match Level: Household; Computer indicates a household has self reported computers/peripherals. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader categories.
4,Interests & Consumer Habits,1001,xpbb.behaviorbank_interest_in_crafts,xpbb.behaviorbank_interest_in_crafts,Experian Field ID: 4818; Experian Datapoint Match Level: Household; Crafts indicates a household's self reported interest in crafts. BehaviorBank Household Indicators groups similar self-reported elements into slightly broader categories.
4,Interests & Consumer Habits,1005,xpbb.behaviorbank_cruise_enthusiasts,Cruises,Experian Field ID: 4820; Experian Datapoint Match Level: Household; Cruise enthusiasts
